URL,Repo,Created,App,Pull Created,Check Start,Check End,Total,Check
https://github.com/compare-ci/admin/issues/151,node-sum,2020-05-20 23:11:33,Travis CI,23:11:41,23:12:03,23:12:37,0:00:56,0:00:34
https://github.com/compare-ci/admin/issues/151,node-sum,2020-05-20 23:11:33,CircleCI Checks,23:11:41,23:11:42,23:12:42,0:01:01,0:01:00
https://github.com/compare-ci/admin/issues/153,python-sum,2020-05-20 23:20:39,Azure Pipelines,23:20:44,23:20:59,23:21:08,0:00:24,0:00:09
https://github.com/compare-ci/admin/issues/153,python-sum,2020-05-20 23:20:39,GitHub Actions,23:20:44,23:20:56,23:20:59,0:00:15,0:00:03
https://github.com/compare-ci/admin/issues/153,python-sum,2020-05-20 23:20:39,Travis CI,23:20:44,23:21:04,23:21:21,0:00:37,0:00:17
https://github.com/compare-ci/admin/issues/153,python-sum,2020-05-20 23:20:39,CircleCI Checks,23:20:44,23:20:45,23:21:00,0:00:16,0:00:15
https://github.com/compare-ci/admin/issues/153,node-sum,2020-05-20 23:20:39,Azure Pipelines,23:20:48,23:21:03,23:21:32,0:00:44,0:00:29
https://github.com/compare-ci/admin/issues/153,node-sum,2020-05-20 23:20:39,GitHub Actions,23:20:48,23:21:00,23:21:27,0:00:39,0:00:27
https://github.com/compare-ci/admin/issues/153,node-sum,2020-05-20 23:20:39,Travis CI,23:20:48,23:21:08,23:21:40,0:00:52,0:00:32
https://github.com/compare-ci/admin/issues/153,node-sum,2020-05-20 23:20:39,CircleCI Checks,23:20:48,23:20:49,23:21:49,0:01:01,0:01:00
https://github.com/compare-ci/admin/issues/155,python-sum,2020-05-21 00:00:57,Azure Pipelines,00:01:01,00:01:48,00:01:57,0:00:56,0:00:09
https://github.com/compare-ci/admin/issues/155,python-sum,2020-05-21 00:00:57,GitHub Actions,00:01:01,00:01:16,00:01:17,0:00:16,0:00:01
https://github.com/compare-ci/admin/issues/155,python-sum,2020-05-21 00:00:57,Travis CI,00:01:01,00:01:31,00:01:49,0:00:48,0:00:18
https://github.com/compare-ci/admin/issues/155,python-sum,2020-05-21 00:00:57,CircleCI Checks,00:01:01,00:01:02,00:01:11,0:00:10,0:00:09
https://github.com/compare-ci/admin/issues/155,node-sum,2020-05-21 00:00:57,Azure Pipelines,00:01:05,00:02:11,00:02:36,0:01:31,0:00:25
https://github.com/compare-ci/admin/issues/155,node-sum,2020-05-21 00:00:57,GitHub Actions,00:01:05,00:01:20,00:01:38,0:00:33,0:00:18
https://github.com/compare-ci/admin/issues/155,node-sum,2020-05-21 00:00:57,Travis CI,00:01:05,00:01:26,00:01:57,0:00:52,0:00:31
https://github.com/compare-ci/admin/issues/155,node-sum,2020-05-21 00:00:57,CircleCI Checks,00:01:05,00:01:07,00:02:10,0:01:05,0:01:03
https://github.com/compare-ci/admin/issues/157,node-sum,2020-05-21 00:28:51,Azure Pipelines,00:28:59,00:29:16,00:29:37,0:00:38,0:00:21
https://github.com/compare-ci/admin/issues/157,node-sum,2020-05-21 00:28:51,GitHub Actions,00:28:59,00:29:13,00:29:28,0:00:29,0:00:15
https://github.com/compare-ci/admin/issues/157,node-sum,2020-05-21 00:28:51,Travis CI,00:28:59,00:29:21,00:29:55,0:00:56,0:00:34
https://github.com/compare-ci/admin/issues/157,node-sum,2020-05-21 00:28:51,CircleCI Checks,00:28:59,00:29:00,00:29:25,0:00:26,0:00:25
https://github.com/compare-ci/admin/issues/157,python-sum,2020-05-21 00:28:51,Azure Pipelines,00:28:55,00:29:13,00:29:53,0:00:58,0:00:40
https://github.com/compare-ci/admin/issues/157,python-sum,2020-05-21 00:28:51,GitHub Actions,00:28:55,00:29:08,00:29:11,0:00:16,0:00:03
https://github.com/compare-ci/admin/issues/157,python-sum,2020-05-21 00:28:51,Travis CI,00:28:55,00:29:20,00:29:38,0:00:43,0:00:18
https://github.com/compare-ci/admin/issues/157,python-sum,2020-05-21 00:28:51,CircleCI Checks,00:28:55,00:28:56,00:29:56,0:01:01,0:01:00
https://github.com/compare-ci/admin/issues/158,python-sum,2020-05-21 04:28:56,Azure Pipelines,04:29:00,04:29:19,04:29:29,0:00:29,0:00:10
https://github.com/compare-ci/admin/issues/158,python-sum,2020-05-21 04:28:56,GitHub Actions,04:29:00,04:29:44,04:29:47,0:00:47,0:00:03
https://github.com/compare-ci/admin/issues/158,python-sum,2020-05-21 04:28:56,Travis CI,04:29:00,04:29:19,04:29:36,0:00:36,0:00:17
https://github.com/compare-ci/admin/issues/158,python-sum,2020-05-21 04:28:56,CircleCI Checks,04:29:00,04:29:01,04:29:09,0:00:09,0:00:08
https://github.com/compare-ci/admin/issues/158,node-sum,2020-05-21 04:28:56,Azure Pipelines,04:29:05,04:29:25,04:29:51,0:00:46,0:00:26
https://github.com/compare-ci/admin/issues/158,node-sum,2020-05-21 04:28:56,GitHub Actions,04:29:05,04:29:18,04:29:33,0:00:28,0:00:15
https://github.com/compare-ci/admin/issues/158,node-sum,2020-05-21 04:28:56,Travis CI,04:29:05,04:29:27,04:30:01,0:00:56,0:00:34
https://github.com/compare-ci/admin/issues/158,node-sum,2020-05-21 04:28:56,CircleCI Checks,04:29:05,04:29:06,04:30:06,0:01:01,0:01:00
https://github.com/compare-ci/admin/issues/159,python-sum,2020-05-21 08:28:59,Azure Pipelines,08:29:03,08:29:21,08:29:32,0:00:29,0:00:11
https://github.com/compare-ci/admin/issues/159,python-sum,2020-05-21 08:28:59,GitHub Actions,08:29:03,08:29:17,08:29:22,0:00:19,0:00:05
https://github.com/compare-ci/admin/issues/159,python-sum,2020-05-21 08:28:59,Travis CI,08:29:03,08:29:23,08:29:40,0:00:37,0:00:17
https://github.com/compare-ci/admin/issues/159,python-sum,2020-05-21 08:28:59,CircleCI Checks,08:29:03,08:29:04,08:29:12,0:00:09,0:00:08
https://github.com/compare-ci/admin/issues/159,node-sum,2020-05-21 08:28:59,Azure Pipelines,08:29:08,08:29:24,08:29:50,0:00:42,0:00:26
https://github.com/compare-ci/admin/issues/159,node-sum,2020-05-21 08:28:59,GitHub Actions,08:29:08,08:29:53,08:30:07,0:00:59,0:00:14
https://github.com/compare-ci/admin/issues/159,node-sum,2020-05-21 08:28:59,Travis CI,08:29:08,08:29:30,08:30:03,0:00:55,0:00:33
https://github.com/compare-ci/admin/issues/159,node-sum,2020-05-21 08:28:59,CircleCI Checks,08:29:08,08:29:09,08:30:09,0:01:01,0:01:00
